stock_code,company_name,employee_count,status,source
603660,苏州科达,1453,成功,原数据
600180,瑞茂通,507,成功,原数据
002028,思源电气,23912,成功,原数据
000528,柳    工,1270,成功,原数据
603808,歌力思,1136,成功,原数据
600732,爱旭股份,1780,成功,原数据
003007,直真科技,5974,成功,原数据
603711,香飘飘,1730,成功,原数据
002291,遥望科技,928,成功,原数据
300369,绿盟科技,1190,成功,原数据
430139,华岭股份,2348,成功,原数据
002162,悦心健康,645,成功,东方财富API
603529,爱玛科技,3718,成功,东方财富API
834599,同力股份,1200,成功,东方财富API
603516,淳中科技,26760,成功,东方财富API
002674,兴业科技,1860,成功,东方财富API
603507,振江股份,4977,成功,东方财富API
300781,因赛集团,5806,成功,东方财富API
603063,禾望电气,6700,成功,原数据
000555,神州信息,2302,成功,原数据
002052,ST同洲,2100,成功,原数据
603222,济民医疗,1510,成功,原数据
300811,铂科新材,10199,成功,原数据
002456,欧菲光,1484,成功,原数据
600525,长园集团,611,成功,原数据
002878,元隆雅图,2742,成功,原数据
000820,神雾节能,432,成功,原数据
