doc_id,company_name,stock_code,grant_amount,grant_ratio,participant_count,exercise_price,market_price,discount_rate,waiting_period,validity_period,employee_count,participant_ratio
1222870342,万东医疗,600055,1200.0,19.1318,87.0,15.18,16.87,10.02,12.0,60.0,1888.0,4.6081
1222869905,远航精密,833914,450.0,1.0,68.0,9.89,18.046,45.2,12.0,60.0,643.0,10.5754
1222847348,瑞芯微,603893,117.0,17.09,7.0,137.67,172.08,20.0,12.0,48.0,24969.0,0.028
1222806421,韦尔股份,603501,2000.0,17.45,3444.0,139.29,139.29,0.0,12.0,48.0,15700.0,21.9363
1222675417,万里马,300591,2028.0,1.0,65.0,4.46,4.46,0.0,13.0,44.0,1569.0,4.1428
1222431699,指南针,300803,529.09,1.0,422.0,91.75,91.75,0.0,15.0,39.0,17893.0,2.3585
1222419473,东方通,300379,1200.0,2.15,130.0,14.43,14.15,-1.98,12.0,36.0,2145.0,6.0606
1222405943,永臻股份,603381,640.0,19.9401,129.0,17.08,20.81,17.92,12.0,60.0,3222.0,4.0037
1222355473,步科股份,688160,168.49,1.0,56.0,65.81,65.81,0.0,12.0,60.0,17170.0,0.3262
1221941206,龙净环保,600388,1219603479.0,2.95,457.0,12.23,12.22,-0.08,12.0,60.0,,
1221910338,未名医药,2581,1963.46,9.47,100.0,12.35,12.35,0.0,16.0,40.0,1167.0,8.569
1221866772,国子软件,872953,137.7175,1.0,91.0,34.42,43.02,19.99,12.0,36.0,1120.0,8.125
1222581396,东土科技,300353,666.67,38.03,30.0,15.0,12.64,-18.67,12.0,48.0,2878.0,1.0424
1221662898,罗莱生活,2293,2337.5,2.32,148.0,5.86,7.32,19.95,16.0,60.0,1124.0,13.1673
1221641997,拓邦股份,2139,3300.0,2.65,1200.0,9.6,12.0,20.0,12.0,48.0,1688.0,71.09
1222190255,凯盛科技,600552,1811.11,1.0,194.0,12.13,11.6,-4.57,24.0,72.0,2388.0,8.124
1222156235,新洁能,605111,105.358,1.0,138.0,29.12,36.4,20.0,12.0,60.0,7079.0,1.9494
1221356125,播恩集团,1366,500.0,1.0,86.0,11.37,11.37,0.0,12.0,48.0,1861.0,4.6212
1221360641,朗鸿科技,836395,239.5479,1.0,25.0,6.73,12.34,45.46,12.0,48.0,3086.0,0.8101
1221344222,国晟科技,603778,5142.85,1.0,76.0,3.63,3.63,0.0,12.0,72.0,3427.0,2.2177
1221316032,志特新材,300986,800.0,21.48,191.0,8.1,8.1,0.0,12.0,60.0,4555.0,4.1932
1221790913,华谊兄弟,300027,9139.0,3.29,187.0,2.85,2.85,0.0,15.0,48.0,326.0,57.362
1221052621,苏 泊 尔,2032,407.225,8.488,57.0,37.89,50.52,25.0,48.0,48.0,5302.0,1.0751
1220825584,剑桥科技,603083,1560.1,13.15,794.0,29.48,27.73,-6.31,12.0,36.0,21949.0,3.6175
1221191937,普门科技,688389,1131.0,1.0,186.0,13.8,12.87,-7.23,12.0,48.0,1460.0,12.7397
1221192060,大博医疗,2901,800.0,20.76,682.0,23.89,23.89,0.0,12.0,48.0,6650.0,10.2556
1221192080,有研硅,688432,1235.0,30.69,92.0,9.11,8.64,-5.44,12.0,72.0,2172.0,4.2357
1220796380,山水比德,300844,387.84,6.0,47.0,29.68,29.68,0.0,12.0,36.0,6100.0,0.7705
1220701561,引力传媒,603598,270.0,1.01,22.0,9.97,12.02,17.05,36.0,36.0,3448.0,0.6381
1220690801,金河生物,2688,1175.0,20.52,25.0,2.94,3.67,19.89,12.0,36.0,796.0,3.1407
1220648062,道森股份,603800,194.18,15.45,50.0,15.39,19.17,19.72,12.0,36.0,8049.0,0.6212
1220628753,豪恩汽电,301488,400.0,24.96,200.0,53.99,53.99,0.0,12.0,60.0,22182.0,0.9016
1221034336,新巨丰,301296,1451.2667,50.0,128.0,7.29,7.1,-2.68,12.0,36.0,1028.0,12.4514
1220535598,安正时尚,603839,600.0,1.0,16.0,4.49,4.28,-4.91,12.0,36.0,1158.0,1.3817
1220521701,富春股份,300299,2700.0,20.25,39.0,3.61,3.61,0.0,12.0,36.0,954.0,4.0881
1220512975,天津普林,2134,398.92,30.0,10.0,8.98,8.98,0.0,12.0,36.0,3366.0,0.2971
1220955321,沪电股份,2463,3000.0,0.6667,626.0,20.22,33.69,39.98,24.0,48.0,14278.0,4.3844
1220872919,共达电声,2655,1800.0,6.6667,119.0,10.6,10.47,-1.24,12.0,60.0,4480.0,2.6562
1220402476,领益智造,2600,23800.0,30.38,1463.0,4.46,5.57,19.93,12.0,60.0,1881.0,77.7778
1220807216,理工能科,2322,1601.24,6.25,87.0,13.91,13.91,0.0,12.0,48.0,1525.0,5.7049
1220806891,春风动力,603129,355.0,13.19,1310.0,106.0,127.77,17.04,12.0,48.0,30060.0,4.358
1220376685,海星股份,603115,900.0,8.89,88.0,9.3,11.0,15.45,12.0,48.0,12200.0,0.7213
1220197318,曲美家居,603818,1646.0,38.9685,91.0,3.56,3.4,-4.71,12.0,36.0,559.0,16.2791
1220159905,小熊电器,2959,63.712,1.0275,49.0,47.41,63.21,25.0,12.0,36.0,5512.0,0.889
1220087765,极米科技,688696,20.0,1.97,21.0,101.11,101.11,0.0,18.0,60.0,13477.0,0.1558
1220089787,天马科技,603668,920.0,13.27,155.0,14.96,14.96,0.0,12.0,48.0,1964.0,7.8921
1220061972,牧高笛,603908,63.18,1.0,32.0,27.69,34.61,19.99,12.0,54.0,2829.0,1.1311
1220378023,瑞玛精密,2976,480.0,5.0,108.0,17.13,17.13,0.0,15.0,60.0,3898.0,2.7707
1219918170,拉芳家化,603630,240.13,1.07,32.0,9.85,12.31,19.98,12.0,42.0,3119.0,1.026
1219908494,三只松鼠,300783,243.86,19.87,96.0,24.02,24.02,0.0,12.0,48.0,2886.0,3.3264
1219879171,邦基科技,603151,1078.0,1.0,155.0,12.85,12.85,0.0,12.0,60.0,3131.0,4.9505
1219772786,锐明技术,2970,939.9,20.0673,146.0,21.12,26.4,20.0,12.0,48.0,8434.0,1.7311
1219763922,日盈电子,603286,500.0,2.0,130.0,15.97,16.29,1.96,12.0,60.0,8479.0,1.5332
1219553244,中贝通信,603220,1490.0,13.34,75.0,32.27,32.27,0.0,12.0,36.0,3459.0,2.1683
1219537254,康冠科技,1308,2666.3272,0.68,2154.0,26.52,25.94,-2.24,12.0,48.0,2530.0,85.1383
1219517956,华铁应急,603300,9900.0,13.34,532.0,6.22,5.93,-4.89,12.0,36.0,1277.0,41.6601
1219985430,东鹏控股,3012,2700.0,1.0,123.0,7.0,7.08,1.13,12.0,60.0,786.0,15.6489
1219987034,国光连锁,605188,1600.0,1.0,142.0,5.95,7.44,20.03,12.0,48.0,2827.0,5.023
1219426067,万向钱潮,559,6974.6,1.0,602.0,4.39,4.88,10.04,12.0,48.0,2160.0,27.8704
1219389670,中岩大地,3001,,3.54,,,,,,,,
1219360929,唯特偶,301319,173.75,18.6,364.0,50.0,,,12.0,48.0,14372.0,2.5327
1219329394,立方控股,833030,405.0,1.0,64.0,8.0,10.83,26.13,12.0,48.0,3100.0,2.0645
1219297801,信质集团,2664,108.3,18.58,153.0,10.79,15.4,29.94,12.0,48.0,3557.0,4.3014
1219826058,鼎龙股份,300054,2500.0,1.6,296.0,19.03,21.14,9.98,12.0,48.0,8158.0,3.6283
1219839474,伟创电气,688698,430.0,13.6361,96.0,27.57,27.57,0.0,12.0,60.0,11323.0,0.8478
1219747689,亿联网络,300628,96.243,0.08,270.0,34.44,34.44,0.0,12.0,36.0,4088.0,6.6047
1219696536,兆易创新,603986,678.14,1.65,45.0,59.18,73.97,19.99,12.0,60.0,2347.0,1.9173
1219706899,祖名股份,3030,72.0,0.9016,41.0,12.36,14.89,16.99,12.0,36.0,2715.0,1.5101
1219636231,蔚蓝锂芯,2245,554.1,1.0,142.0,7.95,7.57,-5.02,12.0,48.0,2321.0,6.1181
1219622393,宁水集团,603700,180.55,0.89,85.0,11.41,10.85,-5.16,12.0,36.0,1500.0,5.6667
1218859385,纳思达,2180,4048.21,4.39,2144.0,22.26,19.97,-11.47,70.0,70.0,2685.0,79.851
1219465836,捷邦科技,301326,72.0,5.0,72.0,27.6,26.65,-3.56,12.0,60.0,19986.0,0.3603
1218743602,达嘉维康,301126,50.0,5.0,33.0,13.76,12.56,-9.55,12.0,60.0,1488.0,2.2177
1218734321,振华重工,600320,7902.53,1.5,347.0,3.31,3.31,0.0,24.0,72.0,565.0,61.4159
1218706667,斯瑞新材,688102,1680.0,12.59,85.0,12.8,12.8,0.0,15.0,72.0,5613.0,1.5143
1218674960,七一二,603712,2161.6,0.29,431.0,28.89,28.89,0.0,24.0,60.0,2625.0,16.419
1218548112,欣锐科技,300745,130.0,5.0,196.0,31.79,29.04,-9.47,16.0,64.0,5297.0,3.7002
1218534994,美年健康,2044,7828.5,16.3276,360.0,4.29,5.99,28.38,16.0,62.0,888.0,40.5405
1219221448,光智科技,300489,1056.0,7.67,156.0,15.53,15.53,0.0,12.0,48.0,15858.0,0.9837
1219199182,捷顺科技,2609,1600.0,1.0,217.0,8.97,8.96,-0.11,12.0,36.0,1255.0,17.2908
1219198504,东软集团,600718,,4.95,,,,,,,,
1219172862,珠海中富,659,11640.7025,11.04,60.0,1.89,1.796,-5.23,12.0,36.0,,
1219110967,海大集团,2311,3400.0,1.0,3745.0,29.96,39.58,24.31,12.0,48.0,6828.0,54.8477
1218308622,地铁设计,3013,360.009,1.1793,360.0,16.09,,,60.0,60.0,1661.0,21.6737
1218169710,中远海能,600026,2246.55,0.589,107.0,13.0,13.0,0.0,24.0,12.0,2717.0,3.9382
1218033365,奕瑞科技,688301,300.0,0.9,455.0,227.47,221.52,-2.69,12.0,60.0,21460.0,2.1202
1218004683,连城数控,835368,411.3,1.95,356.0,24.77,41.99,41.01,12.0,50.0,4561.0,7.8053
1217995536,中国天楹,35,5093.0,1.0,373.0,3.94,5.63,30.02,12.0,60.0,860.0,43.3721
1217971572,安井食品,603345,1200.0,12.85,1462.0,106.03,131.3,19.25,12.0,60.0,11250.0,12.9956
1217971641,钧达股份,2865,423.0,1.0,450.0,74.99,93.73,19.99,12.0,48.0,11668.0,3.8567
